batch,sheet,sku,name,table_discount_price,table_shipping,stock,net_weight_lbs,gross_weight_lbs,child_combo,combo_box_count,is_combo,shipping_source
B4,97系列,W714P499660,97系列米色中间位,90.3,36.38,45.0,38.5,45.1,,1,False,excel_table
B4,97系列,W714P499662,97系列米色脚凳,73.1,19.32,61.0,24.2,28.6,,1,False,excel_table
B4,97系列,W714S01951,97系列玫瑰粉色双人位,220.16,76.82,60.0,99.0,116.6,W714P499664x1 | W714P499750x1,2,True,excel_table
B4,97系列,W714S01952,97系列玫瑰粉色双人位+脚凳,293.26,96.14,60.0,123.2,145.2,W714P499664x1 | W714P499750x1 | W714P499756x1,3,True,excel_table
B4,97系列,W714S01953,97系列玫瑰粉色双人位+2脚凳,366.36,115.46,35.0,147.4,173.8,W714P499664x1 | W714P499750x1 | W714P499756x2,4,True,excel_table
B4,97系列,W714S01954,97咖系列色三人位,310.46,113.2,45.0,137.5,161.7,W714P499664x1 | W714P499752x1 | W714P499750x1,3,True,excel_table
B4,97系列,W714S01955,97系列玫瑰粉色三人位+脚凳,383.56,132.52,45.0,161.7,190.3,W714P499664x1 | W714P499752x1 | W714P499750x1 | W714P499756x1,4,True,excel_table
B4,97系列,W714P499664,97系列玫瑰粉色左边位,110.08,38.41,60.0,49.5,58.3,,1,False,excel_table
B4,97系列,W714P499750,97系列玫瑰粉色右边位,110.08,38.41,60.0,49.5,58.3,,1,False,excel_table
B4,97系列,W714P499752,97系列玫瑰粉色中间位,90.3,36.38,45.0,38.5,45.1,,1,False,excel_table
B4,97系列,W714P499756,97系列玫瑰粉色脚凳,73.1,19.32,70.0,24.2,28.6,,1,False,excel_table
